peId,peMonth,peDay,pePday,peType,peDesc,peReading,peDisplay,peIndex,peFlag
1150,4,30,999,Vespers,"",James_1013_1027,James 1:13-27,5,0
1151,4,30,999,Vespers,"",James_2001_2013,James 2:1-13,6,0
1152,4,30,999,Matins Gospel,"",John_21015_21025,John 21:15-25,29,0
1153,4,30,999,Epistle,Saint,Acts_12001_12011,Acts 12:1-11,36,0
1154,4,30,999,Gospel,Saint,Luke_5001_5011,Luke 5:1-11,37,0
1155,5,3,999,Vespers,"",Wis_5015_6003,Wisdom of Solomon 5:15-6:3,4,0
1156,5,3,999,Vespers,"",Wis_3001_3009,Wisdom of Solomon 3:1-9,5,0
1157,5,3,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1158,5,3,999,Matins Gospel,"",Luke_6017_6023,Luke 6:17-23,29,0
1159,5,3,999,Epistle,Saint,Heb_13007_13016,Hebrews 13:7-16,36,0
1160,5,3,999,Gospel,Saint,Matt_11027_11030,Matthew 11:27-30,37,0
1161,5,7,999,Vespers,"",Comp_2001_2004,"Composite 2 - Proverbs 10, 3, 8",4,0
1162,5,7,999,Vespers,"",Comp_4001_4004,"Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9",5,0
1163,5,7,999,Vespers,"",Comp_5001_5007,"Composite 5 - Wisdom of Solomon 4, 6, 7, 2",6,0
1164,5,7,999,Epistle,Saint,Gal_1011_1019,Galatians 1:11-19,36,0
1165,5,7,999,Gospel,Saint,John_10001_10009,John 10:1-9,37,0
1166,5,8,999,Vespers,"",1John_3021_4006,1 John 3:21-4:6,4,0
1167,5,8,999,Vespers,"",1John_4011_4016,1 John 4:11-16,5,0
1168,5,8,999,Vespers,"",1John_4020_5005,1 John 4:20-5:5,6,0
1169,5,8,999,Matins Gospel,"",John_21015_21025,John 21:15-25,29,0
1170,5,8,999,Epistle,St. John,1John_1001_1007,1 John 1:1-7,36,0
1171,5,8,999,Gospel,St. John,John_19025_19027|John_21024_21025,"John 19:25-27; 21:24-25",37,0
1172,5,10,999,Vespers,"",1John_3021_4006,1 John 3:21-4:6,4,0
1173,5,10,999,Vespers,"",1John_4011_4016,1 John 4:11-16,5,0
1174,5,10,999,Vespers,"",1John_4020_5005,1 John 4:20-5:5,6,0
1175,5,10,999,Matins Gospel,"",John_21015_21025,John 21:15-25,29,0
1176,5,10,999,Epistle,Saint,1Cor_4009_4016,1 Corinthians 4:9-16,36,0
1177,5,10,999,Gospel,Saint,Matt_13054_13058,Matthew 13:54-58,37,0
1178,5,11,999,Vespers,"",Comp_2001_2004,"Composite 2 - Proverbs 10, 3, 8",4,0
1179,5,11,999,Vespers,"",Prov_10031_11012,Proverbs 10:31-11:12,5,0
1180,5,11,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1181,5,11,999,Matins Gospel,"",John_10001_10009,John 10:1-9,29,0
1182,5,11,999,Epistle,Saints,Heb_7026_8002,Hebrews 7:26-8:2,36,0
1183,5,11,999,Gospel,Saints,Matt_5014_5019,Matthew 5:14-19,37,0
1184,5,21,999,Vespers,"",3Kg_8022_8023|3Kg_8027_8030,"3[1] Kings 8:22-23, 27-30",4,0
1185,5,21,999,Vespers,"",Isa_61010_62005,Isaiah 61:10-62:5,5,0
1186,5,21,999,Vespers,"",Isa_60001_60016,Isaiah 60:1-16,6,0
1187,5,21,999,Matins Gospel,"",John_10009_10016,John 10:9-16,29,0
1188,5,21,999,Epistle,Saints,Acts_26001_26005|Acts_26012_26020,"Acts 26:1-5, 12-20",36,0
1189,5,21,999,Gospel,Saints,John_10001_10009,John 10:1-9,37,0
